@relation 'processed-weka.filters.unsupervised.attribute.Remove-R1-28,56-61-weka.filters.unsupervised.attribute.Remove-R17,20-25-weka.filters.unsupervised.attribute.Remove-R3-6,14'

@attribute stress_level_bin {Low,Moderate,High}
@attribute 'daily_screen_time_hours (Normalized)' numeric
@attribute 'social_media_hours (Normalized)' numeric
@attribute 'work_related_hours (Normalized)' numeric
@attribute 'entertainment_hours (Normalized)' numeric
@attribute 'gaming_hours (Normalized)' numeric
@attribute 'sleep_duration_hours (Normalized)' numeric
@attribute 'sleep_quality (Normalized)' numeric
@attribute 'mood_rating (Normalized)' numeric
@attribute 'physical_activity_hours_per_week (Normalized)' numeric
@attribute 'mental_health_score (Normalized)' numeric
@attribute 'weekly_anxiety_score (Normalized)' numeric
@attribute 'mindfulness_minutes_per_day (Normalized)' numeric
@attribute 'uses_wellness_apps (Encoded)' numeric
@attribute 'eats_healthy (Encoded)' numeric

@data
High,0.5,1,0.815789,0.25641,0.236842,0.611111,0.75,0.088889,0,0.289855,0.952381,0.059459,0,0
Moderate,0.511111,0.595238,0.763158,0.538462,0.631579,0.75,1,0.522222,0.279661,0.536232,0.238095,0.710811,1,0
Moderate,0.5,0.666667,0.710526,0.282051,0.315789,0.555556,0.5,0.533333,0.228814,0.492754,0.333333,0.532432,0,1
Moderate,0.211111,0.833333,0.736842,0.512821,0.394737,0.722222,0.75,0.3,0.008475,0.391304,0.571429,0.383784,1,1
High,0.277778,0.904762,0.815789,0.435897,0.421053,0.5,0.75,0.211111,0.228814,0.507246,0.666667,0.183784,0,1
Moderate,0.277778,0.642857,0.710526,0.282051,0.447368,0.388889,0.75,0.422222,0.118644,0.536232,0.190476,0.47027,0,1
High,0.644444,1,0.894737,0.230769,0.184211,0.416667,0.75,0.066667,0,0.347826,0.904762,0.056757,0,1
Low,0.366667,0.5,0.710526,0.589744,0.657895,0.472222,1,0.744444,0.228814,0.536232,0.190476,0.52973,0,0
High,0.188889,0.952381,0.868421,0.512821,0.394737,0.75,0.75,0.355556,0.220339,0.478261,0.380952,0.413514,1,0
Low,0.1,0.404762,0.447368,0.615385,0.631579,0.638889,0.75,0.866667,0.305085,0.710145,0.190476,0.651351,0,1
High,0.688889,1,0.921053,0.410256,0.342105,0.388889,0.75,0.1,0,0.289855,0.714286,0.124324,0,0
High,0.711111,1,0.894737,0.25641,0.210526,0.361111,0.75,0.044444,0.084746,0.275362,0.52381,0.254054,0,1
Low,0.288889,0.357143,0.289474,0.692308,0.578947,0.527778,0.75,0.922222,0.525424,0.710145,0.095238,0.462162,1,1
Moderate,0.377778,0.714286,0.736842,0.384615,0.368421,0.694444,1,0.455556,0.415254,0.637681,0.47619,0.264865,0,1
Moderate,0.4,0.714286,0.763158,0.307692,0.368421,0.444444,0.75,0.466667,0.169492,0.492754,0.47619,0.324324,0,0
High,0.688889,0.97619,0.763158,0.358974,0.131579,0.444444,0.75,0.044444,0.059322,0.304348,0.666667,0.243243,0,0
High,0.777778,1,0.815789,0.384615,0.236842,0.388889,0.75,0,0.008475,0.304348,0.714286,0.197297,0,1
Low,0.122222,0.333333,0.473684,0.589744,0.5,0.694444,1,0.855556,0.262712,0.695652,0.142857,0.908108,1,1
Low,0.377778,0.5,0.578947,0.589744,0.631579,0.833333,0.75,0.633333,0.279661,0.73913,0.190476,0.827027,0,1
Low,0.233333,0.095238,0.184211,0.692308,0.763158,0.527778,0.75,0.788889,0.533898,0.73913,0.047619,0.783784,0,1
High,0.566667,0.928571,0.842105,0.461538,0.342105,0.555556,0.75,0.355556,0.254237,0.507246,0.571429,0.110811,0,0
High,0.888889,0.928571,0.894737,0.538462,0,0.388889,0.5,0.122222,0.245763,0.376812,0.714286,0.262162,0,0
High,0.6,0.97619,0.842105,0.512821,0.157895,0.444444,0.75,0.122222,0.144068,0.42029,0.333333,0.124324,0,1
High,0.822222,1,0.921053,0.282051,0.315789,0.416667,0.75,0.166667,0.127119,0.289855,0.428571,0.135135,0,1
High,0.833333,1,0.921053,0.333333,0.421053,0.666667,0.25,0,0,0.144928,0.47619,0.145946,1,0
High,0.677778,1,0.815789,0.205128,0.342105,0.472222,0.75,0,0.059322,0.362319,0.761905,0.089189,0,1
High,0.766667,1,0.894737,0.384615,0.368421,0.444444,0.75,0,0.067797,0.289855,0.857143,0.213514,0,0
Moderate,0.255556,0.5,0.710526,0.512821,0.526316,0.555556,0.75,0.377778,0.559322,0.652174,0.190476,0.183784,0,1
Low,0.322222,0.47619,0.578947,0.589744,0.605263,0.638889,0.75,0.644444,0.29661,0.536232,0.285714,0.445946,0,0
High,0.688889,1,0.947368,0.358974,0.289474,0.333333,0.5,0.055556,0.09322,0.202899,0.47619,0.194595,0,1
Low,0.3,0.52381,0.605263,0.769231,0.447368,0.611111,0.5,0.622222,0.389831,0.550725,0.285714,0.827027,0,0
High,0.222222,0.857143,0.763158,0.512821,0.368421,0.694444,0.75,0.3,0.135593,0.449275,0.380952,0.318919,0,1
Moderate,0.3,0.642857,0.736842,0.410256,0.526316,0.472222,0.75,0.488889,0,0.536232,0.285714,0.664865,0,0
High,0.277778,0.97619,0.842105,0.384615,0.315789,0.805556,0.75,0.144444,1,0.666667,0.714286,0.294595,0,1
Low,0.155556,0.380952,0.394737,0.769231,0.657895,0.861111,1,0.722222,0.330508,0.753623,0,0.918919,1,0
High,0.455556,1,0.894737,0.102564,0.210526,0.861111,0.75,0,0,0.289855,0.619048,0.240541,0,0
High,0.511111,1,0.868421,0.333333,0.394737,0.611111,0.75,0.177778,0,0.42029,0.619048,0.297297,0,1
Low,0.388889,0.142857,0.078947,0.769231,0.526316,0.611111,0.75,0.733333,0.440678,0.753623,0.047619,0.651351,1,0
Moderate,0.444444,0.690476,0.736842,0.307692,0.421053,0.527778,0.75,0.555556,0.423729,0.637681,0.380952,0.716216,1,0
High,0.688889,1,0.815789,0.307692,0.394737,0.472222,0.75,0.077778,0.127119,0.391304,0.571429,0.310811,0,0
Moderate,0.422222,0.833333,0.815789,0.435897,0.315789,0.694444,0.75,0.155556,0.101695,0.492754,0.428571,0.543243,0,0
Moderate,0.477778,0.714286,0.736842,0.435897,0.368421,0.527778,0.5,0.333333,0.09322,0.492754,0.238095,0.381081,1,1
High,0.755556,1,0.894737,0.205128,0.210526,0.444444,0.75,0,0,0.246377,0.428571,0.118919,0,0
Low,0.511111,0.285714,0.473684,0.564103,0.815789,0.611111,0.75,0.744444,0.29661,0.594203,0.095238,0.9,0,0
Moderate,0.455556,0.714286,0.736842,0.435897,0.5,0.444444,0.75,0.5,0.186441,0.463768,0.095238,0.589189,0,0
High,0.811111,1,0.842105,0.230769,0.5,0.638889,0.5,0,0.025424,0.217391,0.619048,0.145946,1,0
Moderate,0.311111,0.52381,0.710526,0.410256,0.421053,0.611111,0.75,0.566667,0.211864,0.565217,0.47619,0.694595,0,1
High,0.422222,1,0.868421,0.333333,0.157895,0.666667,0.75,0.177778,0,0.347826,0.809524,0.086486,0,0
Low,0.522222,0.428571,0.578947,0.589744,0.289474,0.388889,0.5,0.544444,0.440678,0.623188,0.142857,0.440541,1,0
High,0.366667,1,0.842105,0.205128,0.421053,0.555556,0.75,0,0.144068,0.376812,0.809524,0.089189,0,1
Low,0.566667,0.285714,0.342105,0.692308,0.657895,0.444444,0.75,0.888889,0.364407,0.695652,0.047619,0.835135,0,1
Moderate,0.611111,0.809524,0.815789,0.512821,0.315789,0.444444,0.75,0.211111,0.288136,0.347826,0.47619,0.337838,0,1
High,0.611111,1,0.815789,0.538462,0.184211,0.333333,0.75,0,0.09322,0.333333,0.619048,0.232432,0,0
High,0.566667,0.928571,0.842105,0.538462,0.368421,0.666667,1,0.344444,0.110169,0.405797,0.619048,0.127027,0,1
High,0.444444,0.904762,0.868421,0.384615,0.289474,0.611111,0.75,0.111111,0.118644,0.434783,0.619048,0.343243,0,0
High,0.288889,0.904762,0.868421,0.307692,0.289474,0.416667,0.75,0.233333,0.161017,0.42029,0.47619,0.283784,0,0
High,0.588889,1,0.842105,0.307692,0.078947,0.472222,1,0.022222,0.127119,0.362319,0.666667,0.078378,0,0
High,0.377778,1,0.815789,0.230769,0.421053,0.527778,1,0.122222,0.084746,0.391304,0.952381,0.221622,0,0
High,0.3,0.904762,0.921053,0.538462,0.263158,0.638889,1,0.055556,0.144068,0.463768,0.52381,0.340541,0,0
High,0.722222,1,0.921053,0.333333,0.263158,0.444444,0.75,0.088889,0.09322,0.550725,0.47619,0.332432,0,0
High,0.477778,0.952381,0.842105,0.512821,0.289474,0.694444,0.75,0.1,0,0.405797,0.857143,0.245946,0,1
Moderate,0.488889,0.857143,0.868421,0.410256,0.394737,0.666667,0.75,0.522222,0.220339,0.478261,0.52381,0.413514,0,0
Moderate,0.377778,0.761905,0.842105,0.410256,0.315789,0.861111,0.75,0.366667,0,0.449275,0.285714,0.278378,0,1
Low,0.3,0.5,0.684211,0.717949,0.578947,0.277778,0.75,0.588889,0.576271,0.855072,0.380952,0.532432,0,1
High,0.644444,0.857143,0.868421,0.589744,0.131579,0.694444,0.75,0.2,0,0.26087,0.333333,0.22973,1,0
Moderate,0.744444,0.738095,0.789474,0.25641,0.368421,0.583333,0.75,0.633333,0.305085,0.608696,0.285714,0.189189,1,1
Low,0.311111,0.47619,0.578947,0.564103,0.578947,0.555556,1,0.666667,0.70339,0.855072,0.285714,0.240541,0,1
High,0.544444,1,0.868421,0.333333,0.263158,0.5,0.75,0,0,0.231884,0.428571,0.137838,0,0
Moderate,0.388889,0.761905,0.736842,0.230769,0.526316,0.555556,0.75,0.555556,0.169492,0.463768,0.428571,0.183784,0,1
Low,0.322222,0.261905,0.473684,0.692308,0.578947,0.611111,0.75,0.722222,0.152542,0.594203,0.190476,0.351351,1,1
Moderate,0.466667,0.738095,0.736842,0.384615,0.447368,0.472222,0.75,0.388889,0.355932,0.681159,0.238095,0.227027,1,0
High,1,1,0.894737,0.307692,0.289474,0.166667,0.25,0,0.059322,0.217391,0.857143,0.2,0,0
Moderate,0.344444,0.809524,0.789474,0.282051,0.368421,0.5,1,0.455556,0.101695,0.42029,0.52381,0.32973,1,0
Low,0.588889,0.47619,0.631579,0.589744,0.657895,0.444444,0.75,0.644444,0.364407,0.521739,0.190476,0.227027,0,1
High,0.588889,0.928571,0.894737,0.25641,0.342105,0.583333,0.5,0.211111,0.076271,0.391304,0.571429,0.137838,1,1
High,0.466667,1,0.894737,0.230769,0.184211,0.361111,0.5,0,0.016949,0.231884,0.571429,0.018919,0,0
Moderate,0.322222,0.595238,0.710526,0.358974,0.5,0.666667,1,0.533333,0.322034,0.695652,0.238095,0.291892,1,0
High,0.733333,1,0.894737,0.153846,0.368421,0.277778,0.5,0,0.084746,0.26087,0.47619,0.178378,0,0
Low,0.488889,0.428571,0.552632,0.615385,0.552632,0.583333,0.5,0.388889,0.398305,0.724638,0.333333,0.705405,1,0
High,0.911111,0.904762,0.921053,0.102564,0.263158,0.472222,0.25,0.077778,0.144068,0.188406,0.52381,0.37027,0,0
Moderate,0.366667,0.595238,0.763158,0.487179,0.552632,0.555556,0.75,0.522222,0.601695,0.710145,0.380952,0.256757,1,1
Moderate,0.511111,0.595238,0.657895,0.282051,0.368421,0.527778,0.75,0.633333,0.288136,0.594203,0.428571,0.575676,1,1
High,0.511111,1,0.921053,0.333333,0.236842,0.638889,0.75,0.022222,0.09322,0.289855,0.714286,0.064865,1,1
Moderate,0.522222,0.738095,0.710526,0.205128,0.342105,0.444444,0.5,0.355556,0.237288,0.478261,0.571429,0.575676,1,1
Low,0.144444,0.095238,0.184211,0.615385,0.789474,0.694444,0.75,0.811111,0.271186,0.681159,0.095238,0.551351,1,0
Low,0.277778,0.452381,0.552632,0.564103,0.526316,0.555556,1,0.755556,0.398305,0.695652,0.142857,0.210811,1,1
Moderate,0.322222,0.595238,0.710526,0.384615,0.605263,0.805556,1,0.655556,0.135593,0.492754,0.238095,0.243243,1,1
Low,0.277778,0.380952,0.631579,0.641026,0.184211,0.694444,0.75,0.444444,0.211864,0.652174,0.095238,0.732432,1,0
High,0.655556,0.97619,0.894737,0.128205,0.236842,0.333333,0.75,0.2,0.322034,0.507246,0.333333,0.22973,1,0
Moderate,0.588889,0.666667,0.710526,0.512821,0.394737,0.75,0.75,0.433333,0.347458,0.666667,0.52381,0.175676,0,1
Moderate,0.433333,0.666667,0.763158,0.487179,0.368421,0.694444,0.75,0.511111,0.09322,0.391304,0.333333,0.472973,0,1
High,0.555556,0.928571,0.789474,0.461538,0.289474,0.333333,0.75,0.088889,0,0.231884,0.52381,0.421622,0,1
Moderate,0.755556,0.547619,0.710526,0.230769,0.631579,0.222222,0.75,0.5,0.338983,0.521739,0.333333,0.181081,0,0
High,0.822222,1,0.789474,0.128205,0.105263,0.277778,0.5,0,0,0.318841,0.904762,0.189189,0,0
Moderate,0.422222,0.809524,0.842105,0.410256,0.368421,0.416667,0.75,0.455556,0.050847,0.42029,0.428571,0.397297,0,0
High,0.6,1,0.868421,0.153846,0.394737,0.527778,0.75,0,0,0.275362,0.380952,0.002703,0,0
High,0.722222,1,0.868421,0.333333,0.342105,0.472222,0.5,0.266667,0.245763,0.434783,0.333333,0.259459,0,0
High,0.8,1,0.921053,0.333333,0.210526,0.527778,0.75,0,0.084746,0.217391,0.904762,0.043243,0,0
Moderate,0.233333,0.761905,0.815789,0.358974,0.394737,0.583333,1,0.4,0.271186,0.57971,0.285714,0.567568,1,1
Moderate,0.355556,0.738095,0.842105,0.384615,0.394737,0.527778,0.75,0.322222,0.194915,0.449275,0.238095,0.313514,0,0
High,0.477778,1,0.842105,0.051282,0.263158,0.555556,0.75,0,0.067797,0.15942,0.904762,0.059459,0,1
Low,0.3,0.261905,0.447368,0.589744,0.736842,0.75,1,0.944444,0.389831,0.797101,0.047619,0.489189,0,0
High,0.711111,1,0.815789,0.25641,0.473684,0.194444,0.75,0,0,0.231884,0.809524,0.213514,0,1
Low,0.266667,0.095238,0.078947,0.641026,0.657895,0.583333,0.75,0.955556,0.288136,0.753623,0,0.437838,1,1
Moderate,0.255556,0.738095,0.736842,0.435897,0.394737,0.777778,0.75,0.333333,0.152542,0.565217,0.333333,0.424324,0,1
High,0.777778,1,0.868421,0.282051,0.157895,0.444444,0.75,0,0,0.15942,0.809524,0.186486,1,0
High,0.522222,1,0.894737,0.461538,0.289474,0.5,1,0,0.118644,0.26087,1,0.081081,0,1
High,0.655556,1,0.868421,0.205128,0.236842,0.361111,0.5,0.066667,0.09322,0.362319,0.904762,0.172973,0,1
Moderate,0.577778,0.761905,0.815789,0.307692,0.526316,0.611111,0.5,0.366667,0.305085,0.550725,0.47619,0.648649,1,1
Moderate,0.544444,0.666667,0.815789,0.512821,0.605263,0.444444,0.75,0.544444,0.237288,0.492754,0.285714,0.486486,0,0
Low,0.311111,0.047619,0.105263,0.74359,0.631579,0.527778,1,0.777778,0.728814,0.797101,0,0.375676,1,1
High,0.644444,0.904762,0.868421,0.384615,0.263158,0.666667,0.75,0.288889,0.237288,0.391304,0.428571,0.356757,0,1
High,0.8,1,0.815789,0.410256,0.210526,0.305556,0.75,0.066667,0.118644,0.333333,0.619048,0.343243,0,1
Moderate,0.244444,0.714286,0.815789,0.25641,0.394737,0.833333,1,0.333333,0.050847,0.507246,0.285714,0.543243,0,0
High,0.511111,1,0.894737,0.230769,0.368421,0.527778,0.75,0,0,0.318841,1,0.059459,0,1
High,0.444444,0.833333,0.763158,0.410256,0.210526,0.555556,0.75,0.088889,0.050847,0.434783,0.52381,0.240541,0,0
High,0.444444,1,0.815789,0.282051,0.236842,0.583333,0.75,0,0,0.231884,0.666667,0.059459,0,1
Moderate,0.288889,0.642857,0.894737,0.307692,0.526316,0.583333,0.75,0.333333,0.135593,0.608696,0.47619,0.402703,0,1
High,0.466667,0.904762,0.763158,0.564103,0.263158,0.472222,0.5,0.088889,0.152542,0.42029,0.571429,0.221622,0,1
Low,0.288889,0.357143,0.368421,0.589744,0.526316,0.638889,0.75,0.788889,0.288136,0.811594,0.333333,0.605405,0,1
Moderate,0.3,0.857143,0.842105,0.384615,0.368421,0.527778,0.75,0.277778,0,0.362319,0.619048,0.181081,0,0
High,0.455556,1,0.868421,0.205128,0.210526,0.611111,1,0,0,0.130435,0.761905,0.264865,0,1
High,0.633333,1,0.789474,0.25641,0.236842,0.833333,0.75,0,0.110169,0.362319,0.428571,0.145946,0,1
Moderate,0.2,0.785714,0.815789,0.358974,0.368421,0.722222,0.75,0.455556,0.90678,0.681159,0.238095,0.413514,1,1
Low,0.322222,0.261905,0.473684,0.769231,0.578947,0.555556,1,0.755556,0.440678,0.768116,0.142857,0.918919,1,1
Moderate,0.522222,0.809524,0.710526,0.230769,0.421053,0.555556,0.75,0.333333,0.144068,0.449275,0.428571,0.272973,0,1
High,0.711111,1,0.973684,0.205128,0.394737,0.444444,0.5,0,0,0.304348,0.666667,0.1,0,0
High,0.544444,0.952381,0.894737,0.589744,0.315789,0.5,0.5,0.2,0.144068,0.376812,0.52381,0.42973,0,0
High,0.255556,0.97619,0.842105,0.230769,0.236842,0.583333,1,0.044444,0,0.434783,0.333333,0.113514,0,0
Low,0.333333,0.142857,0.105263,0.615385,0.657895,0.638889,0.75,0.677778,0.610169,0.84058,0,0.443243,1,1
Low,0.377778,0.02381,0.105263,0.74359,0.763158,0.694444,0.75,0.933333,0.508475,0.782609,0.238095,0.613514,1,1
High,0.577778,0.97619,0.789474,0.205128,0.289474,0.805556,0.75,0.177778,0.220339,0.478261,0.428571,0.32973,0,1
Low,0.144444,0.333333,0.368421,0.461538,0.763158,0.722222,1,0.844444,0.440678,0.768116,0.095238,0.797297,1,1
High,0.688889,0.880952,0.842105,0.333333,0.289474,0.333333,0.75,0.277778,0.008475,0.376812,0.47619,0.405405,1,0
Low,0.433333,0.119048,0.131579,0.589744,0.736842,0.361111,0.75,0.866667,0.262712,0.73913,0.095238,0.786486,1,0
High,0.733333,1,0.894737,0.384615,0.263158,0.444444,0.75,0.111111,0.279661,0.391304,0.52381,0.2,1,1
High,0.477778,0.928571,0.868421,0.435897,0.289474,0.666667,1,0.211111,0,0.333333,0.52381,0.421622,0,1
High,0.755556,1,0.894737,0.102564,0.289474,0.416667,0.5,0,0.033898,0.26087,0.857143,0.224324,1,1
High,0.9,1,0.868421,0.128205,0.315789,0.388889,0.5,0,0.025424,0.391304,0.47619,0.127027,1,0
Moderate,0.366667,0.547619,0.657895,0.435897,0.394737,0.694444,0.75,0.366667,0.135593,0.565217,0.238095,0.364865,1,0
High,0.544444,1,0.868421,0.538462,0.157895,0.527778,0.75,0.222222,0.245763,0.449275,0.238095,0.081081,1,1
High,0.411111,1,0.868421,0.179487,0.210526,0.722222,0.75,0.111111,0,0.202899,0.52381,0.105405,1,0
Moderate,0.188889,0.571429,0.710526,0.589744,0.578947,0.416667,0.75,0.566667,0.271186,0.565217,0.380952,0.194595,1,1
Low,0.4,0.142857,0.131579,0.666667,0.684211,0.611111,0.75,1,0.423729,0.724638,0.142857,0.472973,1,0
Low,0.488889,0.47619,0.605263,0.538462,0.5,0.305556,1,0.711111,0.440678,0.73913,0.190476,0.316216,0,0
Low,0.588889,0.309524,0.368421,0.564103,0.710526,0.527778,0.75,0.733333,0.516949,0.73913,0.285714,0.445946,0,0
Moderate,0.366667,0.714286,0.842105,0.410256,0.342105,0.694444,1,0.455556,0.288136,0.681159,0.285714,0.167568,0,0
High,0.544444,1,0.763158,0.333333,0.289474,0.277778,0.5,0.1,0,0.144928,0.52381,0.210811,1,0
Low,0.188889,0.428571,0.605263,0.589744,0.473684,0.305556,1,0.888889,0.254237,0.623188,0.190476,0.245946,0,0
Low,0,0.595238,0.605263,0.435897,0.605263,0.805556,1,0.666667,0.194915,0.594203,0,0.654054,0,0
High,0.722222,1,0.868421,0.410256,0.184211,0.527778,0.75,0,0.194915,0.202899,0.666667,0.408108,1,0
High,0.777778,1,0.842105,0.128205,0.131579,0.277778,0.5,0,0.025424,0.130435,0.714286,0.132432,1,0
Low,0.511111,0.095238,0.157895,0.641026,0.842105,0.555556,0.75,0.955556,0.415254,0.724638,0,0.837838,0,0
Low,0.077778,0.166667,0.210526,0.769231,0.657895,0.583333,1,0.933333,0.381356,0.782609,0,0.956757,1,1
Moderate,0.533333,0.833333,0.789474,0.333333,0.236842,0.5,0.75,0.3,0.127119,0.463768,0.333333,0.37027,0,0
Moderate,0.511111,0.47619,0.763158,0.487179,0.447368,0.5,0.75,0.388889,0.194915,0.594203,0.285714,0.318919,0,0
Moderate,0.588889,0.571429,0.710526,0.564103,0.289474,0.333333,0.5,0.455556,0.194915,0.449275,0.190476,0.175676,1,0
High,0.544444,0.809524,0.868421,0.435897,0.368421,0.638889,0.5,0.155556,0.20339,0.362319,0.428571,0.267568,1,0
High,1,1,0.789474,0.153846,0.184211,0.25,0.5,0,0.025424,0.289855,0.52381,0.040541,0,0
High,0.6,1,0.894737,0.615385,0.210526,0.527778,0.75,0,0.127119,0.449275,0.52381,0.378378,0,0
Moderate,0.566667,0.714286,0.894737,0.179487,0.342105,0.611111,0.75,0.466667,0.288136,0.608696,0.238095,0.562162,1,1
Low,0.333333,0.380952,0.552632,0.564103,0.5,0.472222,0.75,0.344444,0.389831,0.666667,0.095238,0.664865,1,1
High,0.4,1,0.842105,0.205128,0.263158,0.527778,0.75,0.255556,0,0.173913,0.761905,0.056757,0,0
Low,0.544444,0.47619,0.657895,0.564103,0.631579,0.444444,0.5,0.744444,0.220339,0.666667,0.238095,0.608108,0,0
High,0.922222,1,0.815789,0.307692,0.421053,0.638889,0.5,0,0,0.15942,0.666667,0.083784,0,0
High,0.9,1,0.894737,0.358974,0.447368,0.555556,0.5,0.055556,0,0.318841,0.619048,0.183784,0,0
Low,0.5,0.47619,0.552632,0.74359,0.5,0.638889,0.5,0.588889,0.525424,0.623188,0.142857,0.818919,0,0
Low,0.088889,0.095238,0.105263,0.820513,0.657895,0.972222,1,0.855556,0.516949,0.811594,0.095238,0.313514,0,1
Moderate,0.255556,0.690476,0.815789,0.410256,0.315789,0.666667,0.75,0.322222,0.042373,0.42029,0.285714,0.489189,0,0
High,0.211111,0.880952,0.894737,0.666667,0.184211,0.583333,1,0.344444,0.254237,0.463768,0.619048,0.481081,0,0
Moderate,0.666667,0.809524,0.842105,0.435897,0.236842,0.277778,0.75,0.411111,0.177966,0.391304,0.333333,0.132432,0,0
Moderate,0.233333,0.642857,0.789474,0.333333,0.157895,0.527778,0.75,0.544444,0,0.405797,0.428571,0.47027,1,0
Moderate,0.6,0.642857,0.736842,0.282051,0.5,0.527778,0.75,0.622222,0.288136,0.492754,0.428571,0.454054,1,0
Moderate,0.533333,0.619048,0.710526,0.487179,0.263158,0.666667,0.5,0.644444,0.305085,0.42029,0.428571,0.513514,1,1
Moderate,0.766667,0.714286,0.763158,0.410256,0.526316,0.361111,0.75,0.311111,0.381356,0.507246,0.333333,0.283784,0,1
Moderate,0.1,0.666667,0.789474,0.410256,0.368421,0.888889,0.75,0.388889,0.161017,0.405797,0.52381,0.524324,0,0
High,0.944444,1,0.868421,0.179487,0.184211,0.166667,0.5,0,0,0.144928,0.809524,0.22973,1,1
High,0.488889,0.880952,0.815789,0.461538,0.078947,0.472222,0.75,0.155556,0.067797,0.318841,0.142857,0.213514,0,1
Low,0.3,0.142857,0.184211,0.897436,0.763158,0.666667,0.75,0.833333,0.398305,0.84058,0,0.378378,0,1
Low,0,0.142857,0.131579,0.692308,0.526316,0.694444,1,0.788889,0.262712,0.637681,0.047619,0.964865,1,0
High,0.433333,0.904762,0.789474,0.538462,0.210526,0.611111,0.75,0.444444,0.067797,0.405797,0.52381,0.440541,1,1
High,0.566667,0.952381,0.842105,0.512821,0.368421,0.527778,0.75,0.1,0,0.362319,0.190476,0.408108,0,0
High,0.544444,1,0.815789,0.076923,0.263158,0.611111,1,0,0.016949,0.26087,0.714286,0.035135,1,0
High,0.533333,0.952381,0.815789,0.435897,0.210526,0.472222,0.75,0.188889,0.042373,0.391304,0.571429,0.386486,0,0
Low,0.422222,0.404762,0.657895,0.512821,0.526316,0.527778,0.5,0.8,0.525424,0.623188,0.142857,0.735135,1,1
Moderate,0.344444,0.714286,0.710526,0.25641,0.473684,0.444444,0.75,0.511111,0.254237,0.536232,0.47619,0.381081,0,1
Moderate,0.244444,0.714286,0.842105,0.179487,0.315789,0.916667,0.75,0.422222,0.144068,0.492754,0.47619,0.354054,1,0
Moderate,0.766667,0.857143,0.868421,0.538462,0.315789,0.444444,0.5,0.366667,0.144068,0.391304,0.428571,0.313514,1,0
Low,0.466667,0.452381,0.526316,0.641026,0.631579,0.583333,0.5,0.622222,0.322034,0.652174,0.333333,0.578378,1,1
Low,0.222222,0.333333,0.447368,0.538462,0.552632,0.583333,1,0.788889,0.474576,0.73913,0.095238,0.643243,1,1
Low,0.211111,0.095238,0.157895,0.641026,0.657895,0.833333,0.75,1,0.423729,0.73913,0.095238,0.854054,0,0
High,0.544444,0.904762,0.842105,0.461538,0.315789,0.527778,0.75,0.055556,0.79661,0.492754,0.428571,0.237838,0,1
Moderate,0.255556,0.619048,0.710526,0.461538,0.473684,0.638889,1,0.688889,0.271186,0.57971,0.238095,0.183784,0,1
Moderate,0.055556,0.595238,0.684211,0.410256,0.605263,0.555556,0.75,0.577778,0.355932,0.57971,0.428571,0.348649,0,1
High,0.4,1,0.789474,0.358974,0.210526,0.805556,0.75,0.1,0.20339,0.536232,0.571429,0.372973,0,0
High,0.255556,0.857143,0.815789,0.538462,0.236842,0.638889,1,0.211111,0,0.362319,0.238095,0.454054,0,0
Low,0.044444,0.047619,0.210526,0.538462,0.684211,0.916667,0.75,0.777778,0.40678,0.797101,0.238095,0.454054,1,1
High,0.622222,0.857143,0.921053,0.307692,0.157895,0.388889,0.75,0.211111,0.194915,0.42029,0.333333,0.391892,0,0
Moderate,0.344444,0.785714,0.657895,0.384615,0.342105,0.527778,0.75,0.388889,0.152542,0.434783,0.333333,0.37027,1,0
High,0.655556,1,0.868421,0.205128,0.394737,0.388889,0.5,0,0,0.304348,0.761905,0.024324,0,1
Low,0.066667,0.119048,0.157895,0.589744,0.605263,0.638889,1,0.8,0.194915,0.724638,0.095238,0.310811,0,0
High,0.411111,0.904762,0.842105,0.230769,0.315789,0.638889,0.75,0.188889,0.067797,0.333333,0.761905,0.154054,0,0
Moderate,0.411111,0.642857,0.684211,0.487179,0.447368,0.277778,1,0.6,0.305085,0.666667,0.190476,0.583784,0,0
Moderate,0.222222,0.857143,0.842105,0.25641,0.236842,0.611111,0.75,0.322222,0,0.536232,0.190476,0.518919,1,0
Low,0.188889,0.214286,0.5,0.589744,0.578947,0.527778,1,0.788889,0.364407,0.623188,0.095238,0.264865,0,0
High,0.711111,1,0.894737,0.410256,0.236842,0.333333,0.75,0.077778,0.279661,0.42029,0.333333,0.118919,1,0
High,0.488889,0.97619,0.710526,0.384615,0.263158,0.611111,0.75,0.066667,0.067797,0.289855,0.333333,0.467568,1,0
Moderate,0.411111,0.833333,0.815789,0.230769,0.315789,0.583333,0.75,0.477778,0.09322,0.318841,0.285714,0.421622,0,1
High,0.422222,0.904762,0.815789,0.333333,0.289474,0.694444,0.75,0.033333,0.144068,0.275362,0.380952,0.183784,0,0
High,0.688889,1,0.842105,0.487179,0.421053,0.527778,0.25,0,0.025424,0.217391,0.47619,0.227027,0,0
Low,0.1,0.166667,0.157895,0.641026,0.526316,0.694444,1,0.877778,0.584746,0.84058,0.095238,0.491892,0,0
High,0.511111,0.928571,0.763158,0.384615,0.184211,0.444444,0.5,0.022222,0,0.275362,0.619048,0.113514,0,0
High,0.733333,1,0.973684,0.307692,0.368421,0.333333,0.75,0,0,0.173913,0.571429,0,0,0
High,1,1,0.973684,0.153846,0.394737,0.444444,0.5,0,0,0.246377,0.666667,0.202703,1,1
